ID	HC_1	HC_10	HC_11	HC_12	HC_13	HC_2	HC_3	HC_4	HC_5	HC_6	HC_7	HC_8	HC_9	PTB_1	PTB_10	PTB_11	PTB_12	PTB_13	PTB_2	PTB_3	PTB_4	PTB_5	PTB_6	PTB_7	PTB_8	PTB_9	variance
ENSG00000129824	3.21618032489705	3.21618032489705	3.21618032489705	3.21618032489705	9.20639110111138	3.21618032489705	9.65609171549958	9.3304070053464	9.39887243567303	3.21618032489705	3.21618032489705	3.21618032489705	3.21618032489705	3.21618032489705	8.31992456168009	4.17883043528595	9.08442998938543	8.86403010678472	8.9282703192618	3.21618032489705	8.88559158045769	8.77316379863592	8.52764818670638	3.8223181172725	9.42532393500211	9.06708866717807	0.932296804836709
ENSG00000067048	3.80015341550999	3.77434917526488	3.21618032489705	3.6674903359494	8.88576720057657	3.21618032489705	9.45352313508084	8.93157346738824	8.8025389095044	3.21618032489705	4.03045858497746	4.1543434732517	3.21618032489705	3.56076517228928	8.95695335598865	3.77876348086917	8.8962180355844	8.68069908019871	8.39283959980376	3.21618032489705	8.83081672519211	9.02689477885941	9.22965246026746	3.8223181172725	8.73136290455054	8.81691302980989	0.86949483446631
ENSG00000254415	3.21618032489705	3.21618032489705	3.21618032489705	3.21618032489705	8.75454228486583	7.89551285233518	7.62787708197064	3.21618032489705	7.17652088077181	3.89704359104268	9.49323116861249	3.21618032489705	8.37005105136517	8.3753878405034	9.43022106959976	9.48268614545896	8.09334124420921	3.21618032489705	9.09054747711279	9.06029347897698	3.6045237832915	3.21618032489705	3.7115085246027	8.48360110671621	3.21618032489705	3.21618032489705	0.868926417079315
ENSG00000198692	3.21618032489705	3.21618032489705	3.21618032489705	3.21618032489705	8.47607451998919	3.68097803928105	8.68099120673806	9.85004725087709	7.85467272130118	3.21618032489705	3.69043097134945	3.21618032489705	3.21618032489705	3.21618032489705	8.05162645193206	4.00690896914325	8.38993416774236	8.28334723233569	7.66170912852909	3.21618032489705	8.37495564403391	8.15041276609987	8.043594479034	3.21618032489705	8.11394556353592	8.10599058619922	0.817567482217687
ENSG00000229807	8.84746608437116	6.02569619596154	8.12365635277817	8.47099747920636	3.21618032489705	8.87009786663575	3.21618032489705	3.21618032489705	3.21618032489705	7.01873922674219	7.90162796696711	7.15789081525913	6.70938322156303	8.90603393929025	3.21618032489705	7.75278752794138	3.21618032489705	3.21618032489705	3.56533294029875	8.20143641883543	3.21618032489705	3.21618032489705	3.91332328739783	6.87940838255815	3.21618032489705	3.21618032489705	0.749200234950262
ENSG00000183878	3.21618032489705	3.21618032489705	3.21618032489705	3.21618032489705	7.81091796578559	3.68097803928105	8.041244197254	7.40932597423871	7.63908749056547	3.21618032489705	3.21618032489705	3.21618032489705	3.21618032489705	3.21618032489705	7.86585816286786	3.77876348086917	7.78523824934238	7.89688885645503	7.73776590856847	3.21618032489705	8.23262015895022	8.03564575932101	7.74143171654928	3.21618032489705	7.5126512882956	7.80806704009414	0.727429053847956
ENSG00000012817	3.21618032489705	3.21618032489705	3.21618032489705	3.21618032489705	8.07983074801511	3.68097803928105	7.8493637280816	7.77852008525432	8.05957869754057	3.21618032489705	3.21618032489705	3.21618032489705	3.21618032489705	3.21618032489705	7.01737505581528	3.21618032489705	7.99004931784849	7.61359474988216	7.51375269332182	3.21618032489705	7.78626693239536	7.79657006134473	7.94975370045374	3.8223181172725	7.43751778099041	7.64686228030832	0.713659774413863
ENSG00000165949	5.47335413037474	12.3726729629773	5.47332236005184	5.79545228114915	4.38566400801201	6.02085456155343	6.5006157487239	9.52977717180213	5.72887406893118	5.83636190455823	5.74010985609937	5.54167521647757	10.9037000577319	6.10864449227943	7.40879088254623	12.9507628068558	5.32917460644444	8.72627370118376	6.49790726693642	6.69210229578762	6.43777738099544	5.45085982743356	5.54234718043543	7.14122285700757	5.85185024091098	6.08903596548422	0.683439720975115
ENSG00000036448	4.48921220419045	8.9661410494613	4.73244515277585	5.18522600324768	6.77729161518338	7.34032099854425	5.632402295148	7.34788243746271	4.91423344802928	8.01472846981031	9.72166150287706	10.8470794268348	4.67724443463937	4.28390972876278	4.39576416136149	4.00690896914325	5.23243686559546	9.80976631212987	8.42076134962525	4.12640813586215	4.74906937897456	4.7077775676752	7.95620379532009	8.73551758686088	5.11151120408874	5.67016778640812	0.634318176086857
ENSG00000114374	3.21618032489705	3.21618032489705	3.21618032489705	3.21618032489705	7.88669963006561	3.21618032489705	7.33780354041028	7.55232093866818	7.40599843439034	3.21618032489705	3.21618032489705	3.21618032489705	3.21618032489705	3.21618032489705	7.20643546655453	3.21618032489705	7.32017846431402	7.09968228051164	6.67205176252229	3.21618032489705	7.61201409954186	7.38604243797092	7.00610472597865	3.8223181172725	7.0091569176928	7.00737971399873	0.626932476316846
