ID	Factor1_Methylomics	Factor1_RNA	Factor10_Methylomics	Factor10_RNA	Factor2_Methylomics	Factor2_RNA	Factor3_Methylomics	Factor3_RNA	Factor4_Methylomics	Factor4_RNA	Factor5_Methylomics	Factor5_RNA	Factor6_Methylomics	Factor6_RNA	Factor7_Methylomics	Factor7_RNA	Factor8_Methylomics	Factor8_RNA	Factor9_Methylomics	Factor9_RNA
H005	5.47600330008592	-9.00265596063341	-5.84442368733122	-8.65704854199788	8.39701492769485	18.6302980548638	5.08352398957012	-8.73269747807888	26.8363362439586	35.8806165156291	-6.44561444133511	-21.9520003372125	10.7313576922545	14.9617166701738	2.92576267695923	6.90864720733713	-0.823355757534222	-2.14400220175428	-1.96814666253239	2.72567232806859
H010	-28.546951793822	-12.8449631140271	-6.29325350304788	-13.443418713809	18.5864279236812	35.4908776570716	-6.85536499210597	-20.0436838290281	-10.2638078518202	-13.3191833401291	-0.413663929839842	-9.68631828787005	8.97543679887382	29.3550832553685	-4.94190729531229	-13.7771920456693	1.41976011227967	4.1532456555547	-7.37752399930988	-0.727857816407185
H011	37.0588811342773	27.6627796767021	5.43307789952229	7.03565893658018	5.91176091961433	5.32430535200683	-9.21650452286037	-6.14338588670306	-1.64031551382599	-4.33805639474084	-3.74614763908401	-18.9574581513241	-6.36260021151171	-15.8371064410021	-0.619796983470884	-7.83969094743381	7.67732250014044	5.38189815895979	5.29383082293194	4.90483235606249
H012	-34.6506134274755	-37.0597576283173	-5.08002261267175	-4.49772869864885	4.49822702878335	5.95614902970658	-9.8367791115267	7.89842948399057	3.11326749454571	8.30513148697358	0.181353606163748	-4.37339929595109	7.36037151076708	27.4735192205405	10.7468717897099	21.5988380769953	6.79455333588327	7.93708121119782	-8.54010243461841	-3.64170059504941
H013	-24.1896389963407	-23.3698065839651	-3.74608452140513	-3.05394022888655	-11.1963609741757	0.641262392283906	-2.04525717081884	-5.82015119614137	14.22893744187	16.9331280374054	-6.98743459310944	-11.694599820298	2.59263519531879	9.61776138003554	7.79254761397602	10.7043930138679	4.09021473794607	1.43566989384027	-18.3717951998487	-25.0914385187025
H014	-23.8622195619124	-7.86391322306351	3.8061063647019	8.74856390237784	4.69900682964823	5.71119648683152	-8.26737492251674	-2.09578643961735	6.80854225484495	6.86859790580562	-1.88228776854191	0.0965254019858903	1.53261793916228	2.30261877267109	-5.34934947120123	-11.372758194482	4.78592484842468	8.42307381823906	-3.49210564965076	-3.44630150521624
H015	-25.8013369582003	-3.50097681210286	4.95572811578196	14.1042077785089	8.39342728763525	8.91548631301077	-10.4180037713833	-8.58921263516397	-7.23466346414481	-10.8954576933893	3.06674908573989	13.3179709270507	10.0635302468188	21.4762298999012	0.287062896993932	-2.44845938200186	-2.01617874678038	-2.64132884495134	-4.28236275188785	4.65323345089458
H016	16.3502914960934	16.9726351163216	-22.8325244303904	-27.7146840500429	-1.56689934860237	-6.06994549181706	7.38678624658553	-7.63202748112014	9.19656742616341	13.7004280513334	-8.12783198703455	-26.0525084560353	10.8713858412614	11.4042962418504	18.0111026964827	29.2700420534716	6.3434610131499	2.03058231401938	1.74468128507809	-4.76199426655142
H017	-31.0418628032678	-24.5910247864516	6.55558899802697	8.13366709732786	-0.0181655668806787	-8.00976731482828	14.4955401058444	10.7940089312785	-4.35791919851586	-11.2345399590723	-3.65496826513753	-3.20731890526399	-1.2214437136597	0.352662739047236	3.57087520589473	5.44972705947072	-6.02538015437658	-9.76176936456059	8.41299497904179	6.77803724167142
H019	8.47625297095631	-12.7168627107472	8.42835902243716	19.0758286113286	0.582581864180793	5.20675142321236	-10.2160775147307	-7.72671454882593	32.7063664293293	26.7063112525741	-8.76625759442098	-17.2474906082398	-4.83569842514423	-13.5311356141885	-4.28191617276446	-4.20828714314715	-2.20723798108502	-7.75537521297096	-5.59379743613006	-1.08609790849782
