weights	features	abs_weight
-0.55366625723157	cg06155303/NA	0.55366625723157
-0.560451483998342	cg26393261/ATXN1	0.560451483998342
-0.566009976163239	cg23651812/MIR429	0.566009976163239
-0.566217460651277	cg02154531/NHSL2	0.566217460651277
-0.572756602654175	cg10252249/NA	0.572756602654175
-0.633621145821051	cg13525026/MYO15A	0.633621145821051
-0.707495731778578	cg20149170/EPHB2	0.707495731778578
-0.766199793989548	cg00769882/HSPA6	0.766199793989548
-0.767542266117943	cg03543448/GLIS2	0.767542266117943
-0.775822877018192	cg19015611/VAX2	0.775822877018192
-0.84852338026377	cg26175287/C14orf139	0.84852338026377
-0.87407437134243	cg10506618/TRAK1	0.87407437134243
-0.910672226788769	cg08909592/OSBPL2	0.910672226788769
-0.966772017092557	cg22876699/NA	0.966772017092557
