weights	features	abs_weight
-0.502049882043644	GRIK4	0.502049882043644
-0.502355054367128	ARHGEF11	0.502355054367128
-0.506102476598805	NR3C2	0.506102476598805
-0.50898192050963	ARL4A	0.50898192050963
-0.510094688453443	JCHAIN	0.510094688453443
-0.513114678357772	LINC01679	0.513114678357772
-0.515570005384527	NR4A2	0.515570005384527
-0.520444730095233	SIGLEC6	0.520444730095233
-0.521922762889656	AL117336.1	0.521922762889656
-0.523528094801012	PLD4	0.523528094801012
-0.523933954082117	NR4A1AS	0.523933954082117
-0.525555133290579	CYRIA	0.525555133290579
-0.525759627837305	CSGALNACT1	0.525759627837305
-0.526011562432224	ZBTB16	0.526011562432224
-0.526978691109267	NXPH4	0.526978691109267
-0.529292417621655	SNX22	0.529292417621655
-0.529306346732835	MAFA	0.529306346732835
-0.531397300090181	PIM3	0.531397300090181
-0.533834032659768	SH2B3	0.533834032659768
-0.53897250683399	SLC7A5	0.53897250683399
-0.540116604669409	IFI30	0.540116604669409
-0.54015967138029	PPP1R14A	0.54015967138029
-0.545573794616068	KLF4	0.545573794616068
-0.546190514109133	FSCN1	0.546190514109133
-0.546891591382325	TNFRSF18	0.546891591382325
-0.549916563034539	AHNAK2	0.549916563034539
-0.551560380718872	PXDC1	0.551560380718872
-0.560091181623482	RASGEF1B	0.560091181623482
-0.568697954648816	RAB3A	0.568697954648816
-0.569821971304588	DENND3	0.569821971304588
-0.576013265313084	TUBB6	0.576013265313084
-0.580616801250182	CCDC102A	0.580616801250182
-0.587833656153808	SMAD3	0.587833656153808
-0.592359483044762	COL1A1	0.592359483044762
-0.592960077944169	MOXD1	0.592960077944169
-0.594257667007371	SIK1	0.594257667007371
-0.59444088518954	NEU4	0.59444088518954
-0.597466578379566	AREG	0.597466578379566
-0.602905256488947	FOSL2	0.602905256488947
-0.60531318133928	MAP3K20	0.60531318133928
-0.626780896359726	CR1	0.626780896359726
-0.640317146152159	ATF3	0.640317146152159
-0.641921292339675	MAP3K8	0.641921292339675
-0.642607878519178	METRNL	0.642607878519178
-0.645192373110331	SOCS3	0.645192373110331
-0.652391107696809	EML6	0.652391107696809
-0.667886459923197	ADD2	0.667886459923197
-0.669772309644829	KCNQ1	0.669772309644829
-0.671011080362914	GPR183	0.671011080362914
-0.677003850697739	CLCF1	0.677003850697739
-0.69024735063828	SP7	0.69024735063828
-0.692745114086742	SYNPO	0.692745114086742
-0.708053299694562	ASAP3	0.708053299694562
-0.712477387928894	LARGE1	0.712477387928894
-0.713414403511412	PMEPA1	0.713414403511412
-0.742702071173874	ARRDC4	0.742702071173874
-0.743175704701518	HES1	0.743175704701518
-0.756798263326316	KLF3	0.756798263326316
-0.7709454050371	UACA	0.7709454050371
-0.784549630610326	HIP1R	0.784549630610326
-0.797471840507858	DIRAS1	0.797471840507858
-0.798805876570779	MMADHC.DT	0.798805876570779
-0.800182394785986	KLF3.AS1	0.800182394785986
-0.800950977106564	SLC2A3	0.800950977106564
-0.816589550944923	NR4A1	0.816589550944923
-0.823430752747227	VPS37B	0.823430752747227
-0.895785799060197	NR4A3	0.895785799060197
-0.966525158785181	TAMALIN	0.966525158785181
-0.977070148677488	EBF1	0.977070148677488
