weights	features	abs_weight
0.501515953635497	cg27640064/FOXK1	0.501515953635497
0.505036781085448	cg10002915/NA	0.505036781085448
0.508816634796423	cg21179705/NA	0.508816634796423
0.508886683035269	cg01360627/TNF	0.508886683035269
0.511449933932437	cg10158598/TNS3	0.511449933932437
0.511867348203555	cg13594138/NA	0.511867348203555
0.512837893746046	cg21163969/ATP11A	0.512837893746046
0.514826930726388	cg09140851/SH2D4A	0.514826930726388
0.517148652257356	cg13975093/UNC84A	0.517148652257356
0.527043706230351	cg08422803/ITGB2	0.527043706230351
0.528477230188409	cg01188753/C20orf199	0.528477230188409
0.532236582965174	cg00996827/NA	0.532236582965174
0.537318873847249	cg06517984/TSNARE1	0.537318873847249
0.541527627467877	cg00229532/FBXW8	0.541527627467877
0.543092665137558	cg26203572/NA	0.543092665137558
0.54428649320531	cg11199770/TSHZ3	0.54428649320531
0.552066863582174	cg26472802/AIRE	0.552066863582174
0.552989028887374	cg05037806/TSNARE1	0.552989028887374
0.568713117193969	cg13447566/FIBCD1	0.568713117193969
0.571114195703885	cg24578857/PLD6	0.571114195703885
0.571710544499242	cg08398005/TNS3	0.571710544499242
0.580172252406341	cg02233197/TNFAIP8L3	0.580172252406341
0.585250408635217	cg07236781/RUNX3	0.585250408635217
0.587538729782304	cg23234149/TP73	0.587538729782304
0.589458680335479	cg14182690/RUNX3	0.589458680335479
0.590253314072875	cg06436185/PRKAG2	0.590253314072875
0.595367936521228	cg00640314/SNORD87	0.595367936521228
0.60120255765218	cg00694560/ILDR1	0.60120255765218
0.605696620000265	cg12292947/TNS3	0.605696620000265
0.608436974545717	cg26524638/KCNQ1	0.608436974545717
0.609609465314898	cg06038342/RASA3	0.609609465314898
0.612208068290313	cg03256884/NA	0.612208068290313
0.613207080835516	cg27019645/NFATC1	0.613207080835516
0.626151750549916	cg20420249/DNM3	0.626151750549916
0.631282948902609	cg27525731/TNS3	0.631282948902609
0.636484005926734	cg01811815/RASA3	0.636484005926734
0.639544573784593	cg18440230/ERGIC1	0.639544573784593
0.649694694738243	cg16499923/DENND3	0.649694694738243
0.65196450968866	cg12468850/DOK2	0.65196450968866
0.653452297295624	cg23349798/SASH1	0.653452297295624
0.654376885238162	cg19093370/PLD6	0.654376885238162
0.661353953241892	cg14356330/FIG4	0.661353953241892
0.670443132632961	cg02230964/TSNARE1	0.670443132632961
0.674641391270277	cg03974193/MAP4K4	0.674641391270277
0.682370468860866	cg12355887/ERGIC1	0.682370468860866
0.694580933100789	cg16340422/PLD6	0.694580933100789
0.700470058900051	cg04600000/RASA3	0.700470058900051
0.725449211260717	cg10052164/HCCA2	0.725449211260717
0.749318893161611	cg22950111/SDCCAG8	0.749318893161611
1	cg10057528/C1orf86	1
