weights	features	abs_weight
0.500351382767066	RAPGEF5	0.500351382767066
0.50147120474292	E2F7	0.50147120474292
0.503060394901546	LINC01410	0.503060394901546
0.508391816967807	SLC5A5	0.508391816967807
0.513972954524203	HACD1	0.513972954524203
0.515405232245714	AC108879.1	0.515405232245714
0.516673270107278	JAM2	0.516673270107278
0.521287535286366	CPEB1	0.521287535286366
0.528488944327026	AC107926.1	0.528488944327026
0.532722624414624	MYO3A	0.532722624414624
0.534845216130633	SECTM1	0.534845216130633
0.539121839045357	XXYLT1.AS2	0.539121839045357
0.541559707557147	NBPF3	0.541559707557147
0.557150032892224	BNIP3P41	0.557150032892224
0.562577624036483	PTPRVP	0.562577624036483
0.563295694293276	RHOBTB2	0.563295694293276
0.567532827192683	CCDC144NL.AS1	0.567532827192683
0.568017718063063	LRRC66	0.568017718063063
0.587643544437177	SGCB	0.587643544437177
0.595596891977387	CABLES1	0.595596891977387
0.59613430216868	IL17RB	0.59613430216868
0.597269232703978	BX284613.2	0.597269232703978
0.597843598241869	MAP6	0.597843598241869
0.599097029283118	SEMA4A	0.599097029283118
0.609688879829277	CACNA1D	0.609688879829277
0.670188370615664	STUM	0.670188370615664
0.672947860793397	FER1L4	0.672947860793397
0.674933785678615	WNT9A	0.674933785678615
0.677138949679955	CTTN	0.677138949679955
0.693756407792964	CHDH	0.693756407792964
0.702378262140709	TOX2	0.702378262140709
0.712235447412618	APOD	0.712235447412618
0.712993828168025	AC008132.1	0.712993828168025
0.724811913833674	PDGFD	0.724811913833674
0.732189746690639	GTSF1L	0.732189746690639
0.753683782586307	FMOD	0.753683782586307
0.810690195396429	IGSF3	0.810690195396429
1	CTLA4	1
